   text	   data	    bss	    dec	    hex	filename
    380	      0	      0	    380	    17c	../../..//mediatek/platform/mt6575/uboot/addr_trans.o
   6488	      8	   4768	  11264	   2c00	../../..//mediatek/platform/mt6575/uboot/bmt.o
    204	      0	      4	    208	     d0	../../..//mediatek/platform/mt6575/uboot/boot_mode.o
    781	      0	      0	    781	    30d	../../..//mediatek/platform/mt6575/uboot/irq.o
   6061	      0	     28	   6089	   17c9	../../..//mediatek/platform/mt6575/uboot/load_image.o
     48	      0	      0	     48	     30	../../..//mediatek/platform/mt6575/uboot/lowlevel_init.o
  14790	      0	   3116	  17906	   45f2	../../..//mediatek/platform/mt6575/uboot/mmc_core.o
      0	      0	      0	      0	      0	../../..//mediatek/platform/mt6575/uboot/mmc_test.o
  11113	      0	    232	  11345	   2c51	../../..//mediatek/platform/mt6575/uboot/msdc.o
    220	      0	      0	    220	     dc	../../..//mediatek/platform/mt6575/uboot/msdc_utils.o
    493	      0	      0	    493	    1ed	../../..//mediatek/platform/mt6575/uboot/mt6575_auxadc.o
  13156	    184	    604	  13944	   3678	../../..//mediatek/platform/mt6575/uboot/mt6575_bat.o
    930	      0	      0	    930	    3a2	../../..//mediatek/platform/mt6575/uboot/mt6575_board.o
     60	      0	      0	     60	     3c	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_assert_layer.o
   2359	     20	      0	   2379	    94b	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_drv_dbi.o
   3617	     20	     24	   3661	    e4d	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_drv_dpi.o
   6184	     20	     28	   6232	   1858	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_drv_dsi.o
   7486	    100	    564	   8150	   1fd6	../../..//mediatek/platform/mt6575/uboot/mt6575_disp_drv.o
   2214	      0	    188	   2402	    962	../../..//mediatek/platform/mt6575/uboot/mt6575_dpi_drv.o
   8555	      0	    364	   8919	   22d7	../../..//mediatek/platform/mt6575/uboot/mt6575_dsi_drv.o
    328	      0	      0	    328	    148	../../..//mediatek/platform/mt6575/uboot/mt6575_factory.o
    356	    224	     32	    612	    264	../../..//mediatek/platform/mt6575/uboot/mt6575_gpio_init.o
   6075	      4	      0	   6079	   17bf	../../..//mediatek/platform/mt6575/uboot/mt6575_gpio.o
   1695	      0	      0	   1695	    69f	../../..//mediatek/platform/mt6575/uboot/mt6575_i2c.o
    361	      0	      0	    361	    169	../../..//mediatek/platform/mt6575/uboot/mt6575_key.o
   9343	      0	   4056	  13399	   3457	../../..//mediatek/platform/mt6575/uboot/mt6575_lcd_drv.o
   2336	      0	      4	   2340	    924	../../..//mediatek/platform/mt6575/uboot/mt6575_logo.o
   1246	      0	      0	   1246	    4de	../../..//mediatek/platform/mt6575/uboot/mt6575_meta.o
      0	      0	      0	      0	      0	../../..//mediatek/platform/mt6575/uboot/mt6575_nand.o
    452	      0	     12	    464	    1d0	../../..//mediatek/platform/mt6575/uboot/mt6575.o
    264	      0	      0	    264	    108	../../..//mediatek/platform/mt6575/uboot/mt6575_pll.o
  24413	      4	     12	  24429	   5f6d	../../..//mediatek/platform/mt6575/uboot/mt6575_pmic6329.o
   4722	     28	      8	   4758	   1296	../../..//mediatek/platform/mt6575/uboot/mt6575_pwm.o
    545	      0	      0	    545	    221	../../..//mediatek/platform/mt6575/uboot/mt6575_recovery.o
   1287	      0	      0	   1287	    507	../../..//mediatek/platform/mt6575/uboot/mt6575_rtc.o
   1760	      0	      0	   1760	    6e0	../../..//mediatek/platform/mt6575/uboot/mt6575_sleep.o
   2014	     28	      8	   2050	    802	../../..//mediatek/platform/mt6575/uboot/mt65xx_leds.o
   1273	      0	      8	   1281	    501	../../..//mediatek/platform/mt6575/uboot/mtk_serial.o
    828	      0	      8	    836	    344	../../..//mediatek/platform/mt6575/uboot/mtk_timer.o
    455	      0	      4	    459	    1cb	../../..//mediatek/platform/mt6575/uboot/mtk_wdt.o
   2435	      0	   7796	  10231	   27f7	../../..//mediatek/platform/mt6575/uboot/partition_mt.o
